Koordinatensystem : Lambert konform konisch
Rechtswert        : 3799500 Meter
Hochwert          : 2747500 Meter
Hoehenlage        : 48 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
3799500 2747500  1  5 19  -0.1 1032 183  2.7 1  2.0  54    0    0 207 -290  3
3799500 2747500  1  5 20   0.2 1032 201  2.7 1  2.0  53    0    0 210 -290  3
3799500 2747500  1  5 21   0.2 1032 193  3.1 2  1.9  51    0    0 214 -290  3
3799500 2747500  1  5 22   0.0 1032 194  2.6 1  1.9  51    0    0 212 -290  3
3799500 2747500  1  5 23  -0.4 1032 183  3.0 1  2.0  54    0    0 205 -290  3
3799500 2747500  1  5 24  -0.7 1032 182  3.5 2  2.0  56    0    0 206 -290  3
3799500 2747500  1  6  1  -0.6 1032 192  2.5 2  2.0  57    0    0 211 -290  3
3799500 2747500  1  6  2  -1.1 1032 179  2.8 2  2.1  60    0    0 212 -291  3
3799500 2747500  1  6  3  -1.4 1032 190  2.6 1  2.1  63    0    0 206 -291  3
3799500 2747500  1  6  4  -0.4 1031 181  3.0 5  2.2  64    0    0 228 -292  3
3799500 2747500  1  6  5  -0.4 1031 170  3.3 5  2.3  64    0    0 255 -294  3
3799500 2747500  1  6  6  -0.7 1031 201  2.8 7  2.5  69    0    0 269 -297  3
3799500 2747500  1  6  7  -0.4 1031 204  3.4 7  2.5  71    0    0 281 -300  3
3799500 2747500  1  6  8   0.3 1030 212  3.0 8  2.7  72    0    0 288 -302  3
3799500 2747500  1  6  9   0.1 1030 214  3.7 8  2.8  73    0    0 293 -304  3
3799500 2747500  1  6 10  -0.1 1030 191  3.5 8  2.8  74    0   12 293 -305  3
3799500 2747500  1  6 11   0.2 1030 193  3.2 7  2.9  76    1   61 290 -307  3
3799500 2747500  1  6 12   0.2 1030 204  3.8 7  3.0  80    0   63 287 -309  3
3799500 2747500  1  6 13   0.1 1029 212  3.9 8  3.2  86    0   32 293 -311  3
3799500 2747500  1  6 14   0.1 1029 222  3.3 7  3.4  90    0   34 294 -312  3
3799500 2747500  1  6 15   0.5 1029 232  2.8 8  3.5  91    0   32 296 -313  3
3799500 2747500  1  6 16   0.6 1029 218  2.3 8  3.6  92    0   14 303 -314  3
3799500 2747500  1  6 17   0.8 1029 222  2.7 8  3.7  93    0    1 304 -314  3
3799500 2747500  1  6 18   0.8 1029 233  1.4 8  3.7  93    0    0 306 -314  3
3799500 2747500  1  6 19   1.1 1029 230  2.0 8  3.7  93    0    0 308 -314  3
3799500 2747500  1  6 20   1.2 1028 209  1.5 8  3.7  92    0    0 311 -314  3
3799500 2747500  1  6 21   1.4 1028 220  1.7 8  3.8  92    0    0 314 -315  3
3799500 2747500  1  6 22   1.4 1028 207  1.9 8  3.8  92    0    0 318 -315  3
3799500 2747500  1  6 23   1.7 1029 238  2.0 8  3.8  92    0    0 318 -315  3
3799500 2747500  1  6 24   1.5 1029 214  1.6 8  3.9  92    0    0 317 -316  3
3799500 2747500  1  7  1   1.4 1029 203  1.7 8  3.8  93    0    0 316 -316  3
3799500 2747500  1  7  2   1.3 1029 257  1.5 8  3.8  93    0    0 316 -316  3
3799500 2747500  1  7  3   1.4 1028 266  1.4 6  3.9  94    0    0 298 -316  3
3799500 2747500  1  7  4   1.5 1028   4  0.5 6  3.9  94    0    0 284 -316  3
3799500 2747500  1  7  5   1.5 1028 259  1.6 6  3.9  94    0    0 286 -316  3
3799500 2747500  1  7  6   1.6 1028 346  0.8 8  3.9  93    0    0 299 -316  3
3799500 2747500  1  7  7   1.4 1028 346  0.7 7  3.9  93    0    0 305 -316  3
3799500 2747500  1  7  8   1.5 1028 345  0.4 7  3.9  94    0    0 299 -316  3
3799500 2747500  1  7  9   1.8 1028 348  0.3 8  4.0  94    0    0 304 -316  3
3799500 2747500  1  7 10   1.9 1029 246  0.7 6  4.0  94    0   29 299 -316  3
3799500 2747500  1  7 11   2.1 1029 238  1.1 7  4.0  94    0   40 295 -316  3
3799500 2747500  1  7 12   2.0 1029 278  1.4 8  4.1  94    0   49 305 -316  3
3799500 2747500  1  7 13   2.3 1029 339  0.7 7  4.1  94    0   46 305 -317  3
3799500 2747500  1  7 14   2.5 1028 337  0.6 8  4.2  94    0   40 305 -317  3
3799500 2747500  1  7 15   2.4 1028 330  1.2 8  4.2  94    0   26 312 -317  3
3799500 2747500  1  7 16   2.5 1028 348  1.1 8  4.2  95    2   30 312 -317  3
