building_name,net_leased_area,building_age_group,a1,a2,a3,a1_a3,a4,a5,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,d,sum,sumwithd
'B32_III',136.068359375,"(2010,2015)",-300.32431276862286,0.4990756617365755,64.6577831986926,37167.25186549816,508.7464912261378,487.153218333632,-217.709375,None,None,None,None,4186.160619505708,None,82.8413254390268,486.94304762203296,268.27428520441197,3794.3587937813227,-3594.882105066685,46764.020271610425,43169.13816654374
'B33_II',180.326416015625,"(2010,2015)",-398.0088186017446,0.6614067062685421,85.68859333125572,46139.716589431606,669.01299501736,635.3131890691927,-288.522265625,None,None,None,None,5547.750872957725,None,109.78657626960695,637.5030437892547,321.3465806762557,4694.638989035571,-4396.513100305101,58466.54657062158,54070.03347031648
'B34_II',180.326171875,"(2010,2015)",-398.00827974491,0.6614058108021418,85.68847731904191,46139.68184703729,669.0121356009244,635.3124204958469,-288.521875,None,None,None,None,5547.743362175668,None,109.78642763157632,637.5022502928795,321.34644973563894,4694.635603225468,-4396.510418503667,58466.49862119529,54069.988202691624
'B35_II',180.326416015625,"(2010,2015)",-398.0088186017446,0.6614067062685421,85.68859333125572,46139.71659001457,669.0129950183345,635.313189071118,-288.522265625,None,None,None,None,5547.750873051193,None,109.78657626960695,637.5030437907183,321.34658068265014,4694.638989098023,-4396.513100373867,58466.54657137121,54070.03347099735
'B36_II',180.325927734375,"(2010,2015)",-398.00774088807543,0.6614049153357414,85.6883613068281,46139.64710245752,669.0112761808355,635.3116519152835,-288.521484375,None,None,None,None,5547.7358510605245,None,109.78627899354571,637.5014567910174,321.3463187710494,4694.632217181237,-4396.507736444429,58466.45066897602,54069.94293253159
'B37_III',136.068359375,"(2010,2015)",-300.32431276862286,0.4990756617365755,64.6577831986926,37167.25186564387,508.7464912263814,487.15321833411326,-217.709375,None,None,None,None,4186.160619487957,None,82.8413254390268,486.9430476223987,268.2742852060102,3794.3587937969323,-3594.882105083873,46764.02027175669,43169.13816667282
'B38_III',136.068359375,"(2010,2015)",-300.32431276862286,0.4990756617365755,64.6577831986926,37167.25186782945,508.74649123003496,487.15321834133135,-217.709375,None,None,None,None,4186.160619401369,None,82.8413254390268,486.9430476278858,268.27428522998434,3794.35879403107,-3594.8821053416905,46764.02027413015,43169.13816878846
'B39_III',136.068603515625,"(2010,2015)",-300.3248516254575,0.49907655720297595,64.65789921090642,37167.28661751106,508.74735065865264,487.15398693874425,-217.709765625,None,None,None,None,4186.168130496775,None,82.84147407705743,486.94384114255655,268.2744162505368,3794.3621806218525,-3594.8847880027547,46764.06823207224,43169.18344406949
'B3_II',180.325927734375,"(2010,2015)",-398.00774088807543,0.6614049153357414,85.6883613068281,46139.64709378759,669.0112761663421,635.3116518866502,-288.521484375,None,None,None,None,5547.7357728151,None,109.78627899354571,637.5014567692507,321.34631867594726,4694.63221625244,-4396.507735421701,58466.45058097187,54069.94284555017
'B40_III',136.068603515625,"(2010,2015)",-300.3248516254575,0.49907655720297595,64.65789921090642,37167.28661969664,508.7473506623063,487.15398694596234,-217.709765625,None,None,None,None,4186.168130524847,None,82.84147407705743,486.9438411480437,268.2744162745109,3794.3621808559906,-3594.8847882605723,46764.06823456036,43169.183446299794
